name,alamat,kecamatan,tipe_fasilitas,no_telp,latitude,longitude
PT. Bank Rakyat Indonesia,Jl. Asia Afrika No. 57-59,Sumur Bandung,Bank,0224200350,-6.9210625,107.6071875
PT. Bank Mandiri,Jl. Surapati No. 2,Bandung Wetan,Bank,0224241411,-6.8995625,107.6168125
PT. Bank Negara Indonesia,Jl. Tamansari No.80,Coblong,Bank,0222504491,-6.8940625,107.6086875
PT. Bank Danamon Indonesia,Jl. Merdeka No.40,Sumur Bandung,Bank,1500090,-6.9106875,107.6106875
PT. Bank Permata,Jl. Merdeka No. 66,Bandung Wetan,Bank,,-6.9074375,107.6106875
PT. Bank Central Asia,Jl. Asia Afrika 122-124,Lengkong,Bank,1500888,-6.9225625,107.6128125
PT. Bank Maybank Indonesia,Jl. R.E. Martadinata No. 23,Sumur Bandung,Bank,02178869811,-6.9066875,107.6129375
PT. Bank Pan Indonesia,Jl. Banceuy No 8-10 Braga,Sumur Bandung,Bank,0224233100,-6.9199375,107.6069375
PT. Bank Cimb Niaga,Jl. Setiabudhi No. 57,Sukasari ,Bank,02114041,-6.8795625,107.5980625
PT. Bank Ocbc Nisp,Jl. Taman Cibeunying Sel. No.31,Bandung Wetan,Bank,0227159888,-6.9063125,107.6243125
PT. Bank Resona Perdania,Jl. Asiaafrika No.141-149 Grahabumiputera Lt.2,Sumur Bandung ,Bank,0224241742,-6.9220625,107.6166875
PT. Bank Bumi Arta,Jl. Otto Iskandardinata No. 146,Andir,Bank,0224230974,-6.9199375,107.6040625
PT. Bank Jtrust Indonesia,Jl. Ir. H. Juanda No. 28,Bandung Wetan,Bank,02220542211,-6.9023125,107.6119375
PT. Bank Maspion Indonesia,Jl. Sunda No. 54-54A,Sumur Bandung,Bank,0224261788,-6.9189375,107.6181875
PT. Bank Icbc Indonesia,Jl. Ir. H. Juanda No 71,Bandung Wetan,Bank,0224232560,-6.8996875,107.6124375
PT. Bank Tabungan Negara,Jl. Jawa No. 7,Sumur Bandung ,Bank,0224232112,-6.9145625,107.6135625
PT. Bank Woori Saudara Indonesia 1906,Jl. Phh. Mustofa No.39 Sucore Blok F1,Cibeunying kidul,Bank,02287241326,-6.9000625,107.6528125
PT. Bank Tabungan Pensiunan Nasional,Jl. Jend.Achmad Yani 618,Kiaracondong,Bank,0227211693,-6.9071875,107.6470625
PT. Bank Mega,Jl. Gatotsubroto No.283 Lt. 1 & 2 Mbm,Batununggal,Bank,02287340900,-6.9269375,107.6353125
PT. Bank Bukopin,Jl. Asia Afrika No.121,Lengkong,Bank,0224234569,-6.9219375,107.6146875
PT. Bank Bisnis Internasional,Jl. Ir.H.Juanda No.137,Coblong,Bank,0222501787,-6.8904375,107.6129375
PT. Bank Mnc Internasional,Jl. Ir. H. Juanda No.62,Bandung Wetan,Bank,0224265100,-6.8994375,107.6130625
PT. Bank Rakyat Indonesia Agroniaga,Jl. Abdul Rivai No.2B,Bandung Wetan,Bank,0224214500,-6.9041875,107.6040625
PT. Bank Sbi Indonesia,Jl. Abdul Rivai No.1 B-C,Cicendo,Bank,0224203494,-6.9045625,107.6040625
PT. Bank Ina Perdana,Jl. Gatot Subroto No 47 B,Lengkong,Bank,02287340234,-6.9228125,107.6209375
PT. Bank Mayora,Jl. Ahmad Yani No. 151,Sumur Bandung,Bank,0227323090,-6.9193125,107.6229375
PT. Bank Index Selindo,Jl. Banceuy No.32-34 Banceuy Permai,Lengkong,Bank,02284281043,-6.9224375,107.6188125
PT. Bank Victoria International,Jl. .Braga No.16,Sumur Bandung,Bank,0224266846,-6.9195625,107.6100625
PT. Bank Harda Internasional,Jl. Sudirman No.91C,Astanaanyar,Bank,0224212270,-6.9206875,107.6011875
PT. Bank Mayapada International,Jl. Veteran No.37,Sumur Bandung,Bank,02220530030,-6.9193125,107.6159375
